index,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Trend,14 day SMA,upper band,lower band
46,NCC,EQ,93.9,93.0,95.1,91.3,91.6,91.55,93.09,4046206,376675904.4,11880,2305338,56.98,Negative,91.05357142857142,95.9781509554431,86.12899190169973
47,NCC,EQ,91.55,91.5,92.45,91.0,91.9,91.85,91.89,3218501,295752988.65,12225,1676663,52.09,Slight or No change,91.24999999999999,96.05688608624689,86.44311391375308
48,NCC,EQ,91.85,92.25,93.3,91.15,91.4,91.45,91.92,2238535,205777222.55,11356,820709,36.66,Slight or No change,91.54642857142856,95.781894994879,87.31096214797813
49,NCC,EQ,91.45,91.6,91.95,89.25,90.8,90.9,90.71,2239115,203118970.3,9554,901283,40.25,Slight negative,91.63571428571427,95.74993513379879,87.52149343762976
50,NCC,EQ,90.9,91.25,92.2,89.8,91.4,91.5,90.99,4754485,432629282.55,29083,1631205,34.31,Slight positive,91.80714285714285,95.65778858578014,87.95649712850556
51,NCC,EQ,91.5,90.3,91.8,90.1,90.6,90.55,90.64,2204177,199786889.35,4907,1263587,57.33,Negative,91.80714285714285,95.65778858578014,87.95649712850556
52,NCC,EQ,90.55,90.5,91.6,90.0,90.05,90.2,90.62,2607677,236306531.3,8615,1305989,50.08,Slight or No change,91.73214285714286,95.6694607929302,87.79482492135553
53,NCC,EQ,90.2,90.5,90.85,88.65,89.5,89.3,89.66,5650215,506583401.8,12779,3769210,66.71,Slight negative,91.73214285714286,95.6694607929302,87.79482492135553
54,NCC,EQ,89.3,89.05,90.5,88.2,90.15,89.85,89.43,2474123,221256008.7,9164,1178117,47.62,Slight positive,91.69285714285714,95.69782658341225,87.68788770230202
55,NCC,EQ,89.85,90.1,90.2,88.3,89.15,88.9,89.21,2432412,216995231.8,11479,1043292,42.89,Negative,91.69642857142857,95.69055200192268,87.70230514093446
56,NCC,EQ,88.9,89.0,89.9,88.35,88.6,88.9,88.98,2417176,215077944.95,10691,1460006,60.4,Slight or No change,91.3,95.21780943503266,87.38219056496733
57,NCC,EQ,88.9,89.3,91.35,87.55,89.85,90.35,89.14,5529782,492905349.15,23829,2907944,52.59,Positive,90.96071428571429,94.22995992239676,87.69146864903182
58,NCC,EQ,90.35,90.8,91.45,88.05,88.35,88.6,89.82,3714447,333630743.3,22238,995710,26.81,Negative,90.55714285714285,93.45059890693666,87.66368680734904
59,NCC,EQ,88.6,88.6,89.2,86.3,87.15,86.95,87.37,2579934,225399478.0,11669,1000881,38.79,Negative,90.06071428571428,92.86707480080494,87.25435377062362
60,NCC,EQ,86.95,87.4,90.45,86.6,90.2,90.15,89.24,6925876,618057811.2,15221,4853134,70.07,Among top gainers,89.96071428571429,92.63514551825385,87.28628305317473
61,NCC,EQ,90.15,90.75,91.75,88.1,88.95,89.2,90.28,7682512,693580842.7,30723,1217536,15.85,Negative,89.77142857142859,92.23679304306816,87.30606409978901
62,NCC,EQ,89.2,89.0,92.0,88.5,88.9,89.6,90.38,5364312,484826186.65,36631,1703002,31.75,Slight or No change,89.63928571428572,91.90752073515347,87.37105069341797
63,NCC,EQ,89.6,89.0,89.1,76.2,84.45,83.25,84.72,5567130,471628860.15,21469,2327740,41.81,Bear drop,89.09285714285714,93.08416638301263,85.10154790270165
64,NCC,EQ,83.25,80.9,85.5,80.0,82.9,83.05,83.07,2945379,244662839.65,11863,612645,20.8,Slight or No change,88.48928571428571,93.36925711575134,83.60931431282009
