index,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
28,NCC,EQ,2017-06-21,91.0,90.6,91.95,90.35,90.95,91.0,91.11,2169580,197659652.0,7532,616341,28.41,6,2017,197829536.33333334,0.0,Slight or No change
29,NCC,EQ,2017-06-22,91.0,91.1,93.15,90.65,91.8,91.6,91.86,5095304,468031764.0,17965,1695539,33.28,6,2017,468513202.8,0.659340659340657,Slight positive
30,NCC,EQ,2017-06-23,91.6,92.1,92.35,87.5,89.6,89.85,89.34,5861474,523690975.15,20304,1764444,30.1,6,2017,535934106.0666666,-1.9104803493449785,Negative
31,NCC,EQ,2017-06-27,89.85,90.0,90.15,87.4,88.4,88.6,88.91,2830830,251680054.6,11709,629978,22.25,6,2017,253595187.5,-1.3912075681691727,Negative
32,NCC,EQ,2017-06-28,88.6,88.5,90.8,87.45,89.2,89.45,89.3,3110924,277795218.9,9454,1034599,33.26,6,2017,278686941.6666666,0.9593679458239412,Slight positive
33,NCC,EQ,2017-06-29,89.45,89.9,90.2,88.6,88.75,89.1,89.25,7094536,633217393.1,8599,4650984,65.56,6,2017,636616363.7333335,-0.3912800447177234,Slight or No change
34,NCC,EQ,2017-06-30,89.1,88.3,88.7,86.9,88.0,87.3,87.59,3258821,285434926.2,17582,1785550,54.79,6,2017,287102130.1,-2.020202020202022,Negative
35,NCC,EQ,2017-07-03,87.3,87.8,89.9,87.8,89.75,89.65,89.19,1848840,164890513.2,7588,625413,33.83,7,2017,164762458.0,2.691867124856828,Positive
36,NCC,EQ,2017-07-04,89.65,89.9,90.15,87.5,89.05,89.1,88.88,1812894,161121971.95,7085,406361,22.42,7,2017,162646806.7,-0.613496932515345,Slight negative
37,NCC,EQ,2017-07-05,89.1,89.1,90.9,89.05,90.8,90.55,90.03,1921302,172974990.4,6526,670953,34.92,7,2017,173269418.70000002,1.6273849607183033,Positive
38,NCC,EQ,2017-07-06,90.55,90.55,92.8,90.55,91.2,91.25,91.84,2872415,263810631.25,11170,904195,31.48,7,2017,262921719.66666672,0.7730535615682044,Slight positive
39,NCC,EQ,2017-07-07,91.25,90.5,91.75,89.05,89.35,89.3,89.84,3136794,281806920.35,8783,1502125,47.89,7,2017,283932136.9,-2.13698630136987,Negative
40,NCC,EQ,2017-07-10,89.3,92.0,92.0,87.4,90.45,90.4,90.38,370327,33469848.0,4543,135600,36.62,7,2017,33872576.266666666,1.2318029115341744,Positive
41,NCC,EQ,2017-07-11,90.4,91.0,91.1,88.0,89.1,88.85,89.74,2059138,184782228.0,11689,813383,39.5,7,2017,185974480.36666664,-1.7146017699115168,Negative
42,NCC,EQ,2017-07-12,88.85,89.5,94.9,89.1,94.75,94.45,93.0,9066077,843127753.25,34719,3543620,39.09,7,2017,842691857.15,6.302757456387176,Among top gainers
43,NCC,EQ,2017-07-13,94.45,95.7,96.3,94.2,94.8,95.1,95.35,6557807,625267451.25,28358,2083039,31.76,7,2017,627582129.9,0.6881948120698755,Slight positive
44,NCC,EQ,2017-07-14,95.1,95.55,95.7,93.4,93.95,94.25,94.21,2593384,244323570.75,31526,1153698,44.49,7,2017,246803710.6666667,-0.8937960042060933,Slight negative
45,NCC,EQ,2017-07-17,94.25,94.8,94.95,93.55,93.85,93.9,94.07,1767668,166281588.45,23810,770791,43.6,7,2017,167133009.4,-0.3713527851458842,Slight or No change
46,NCC,EQ,2017-07-18,93.9,93.0,95.1,91.3,91.6,91.55,93.09,4046206,376675904.4,11880,2305338,56.98,7,2017,377173835.96666664,-2.50266240681577,Negative
47,NCC,EQ,2017-07-19,91.55,91.5,92.45,91.0,91.9,91.85,91.89,3218501,295752988.65,12225,1676663,52.09,7,2017,295887525.26666665,0.3276897870016393,Slight or No change
48,NCC,EQ,2017-07-20,91.85,92.25,93.3,91.15,91.4,91.45,91.92,2238535,205777222.55,11356,820709,36.66,7,2017,206691398.3333333,-0.4354926510615087,Slight or No change
49,NCC,EQ,2017-07-21,91.45,91.6,91.95,89.25,90.8,90.9,90.71,2239115,203118970.3,9554,901283,40.25,7,2017,204841703.9166667,-0.6014215418261304,Slight negative
50,NCC,EQ,2017-07-24,90.9,91.25,92.2,89.8,91.4,91.5,90.99,4754485,432629282.55,29083,1631205,34.31,7,2017,435748550.24999994,0.6600660066006458,Slight positive
51,NCC,EQ,2017-07-25,91.5,90.3,91.8,90.1,90.6,90.55,90.64,2204177,199786889.35,4907,1263587,57.33,7,2017,200322953.01666665,-1.0382513661202242,Negative
52,NCC,EQ,2017-07-26,90.55,90.5,91.6,90.0,90.05,90.2,90.62,2607677,236306531.3,8615,1305989,50.08,7,2017,236690149.03333333,-0.3865267807840911,Slight or No change
53,NCC,EQ,2017-07-27,90.2,90.5,90.85,88.65,89.5,89.3,89.66,5650215,506583401.8,12779,3769210,66.71,7,2017,509743563.24999994,-0.9977827050997812,Slight negative
54,NCC,EQ,2017-07-28,89.3,89.05,90.5,88.2,90.15,89.85,89.43,2474123,221256008.7,9164,1178117,47.62,7,2017,222176245.4,0.615901455767065,Slight positive
55,NCC,EQ,2017-07-31,89.85,90.1,90.2,88.3,89.15,88.9,89.21,2432412,216995231.8,11479,1043292,42.89,7,2017,218268436.80000004,-1.057317751808562,Negative
